,state,county,netprice
0,Louisiana,Evangeline Parish,6097.8762
1,New York,Dutchess County,255577.6
2,Louisiana,Saint Mary Parish,154694.7822
3,California,Siskiyou County,2959.5016
4,Louisiana,Saint Helena Parish,4148.8525
5,Arkansas,Independence County,14418.2347
6,Oklahoma,Canadian County,8750.0
7,Colorado,Gunnison County,2566.3717
8,Louisiana,Jefferson Parish,243302.9081
9,Texas,Wise County,5800.0
10,Oklahoma,Harper County,1368.6728
11,Louisiana,Washington Parish,5443.8659
12,Florida,Lake County,64489.2473
13,Tennessee,Rhea County,11761.7647
14,Arkansas,Boone County,7410.8939
15,Louisiana,Acadia Parish,3417.7736
16,Arkansas,Faulkner County,9705.5177
17,Louisiana,East Feliciana Parish,6819.1965
18,Wisconsin,Saint Croix County,10204.6036
19,Louisiana,Saint Martin Parish,22412.7665
20,North Carolina,Dare County,17588.2353
21,Arkansas,Baxter County,14110.729
22,Colorado,Costilla County,2930.5913
23,Oklahoma,Okmulgee County,6948.3964
24,Oklahoma,Creek County,7380.4611
25,Oklahoma,Grant County,1112.5493
26,Louisiana,Calcasieu Parish,27967.561
27,Illinois,Madison County,14834.6991
28,Oklahoma,Garfield County,14700.7422
29,Montana,Rosebud County,474.8982
30,Louisiana,La Salle Parish,3327.8431
31,Arkansas,Marion County,5864.4142
32,Missouri,Dallas County,6207.5472
33,Louisiana,Vernon Parish,6096.1815
34,North Carolina,Henderson County,7500.0
35,Oklahoma,Noble County,804.8692
36,Wyoming,Platte County,1657.6644
37,New York,Richmond County,8556.0642
38,Louisiana,Beauregard Parish,7775.1115
39,Oklahoma,Harmon County,1125.0
40,New York,Chenango County,1824.3243
41,Arkansas,Newton County,3491.6149
42,Texas,Gillespie County,11068.3761
43,Oklahoma,Jefferson County,11363.6364
44,Oklahoma,Roger Mills County,1853.3554
45,Mississippi,Attala County,2400.0
46,Texas,Blanco County,70000.0
47,Oklahoma,Washita County,6219.631
48,Louisiana,De Soto Parish,6799.2095
49,Louisiana,St John The Baptist Parish,34604.2271
50,Arkansas,Randolph County,2126.5749
51,Louisiana,Union Parish,2000.0
52,Louisiana,Iberia Parish,130246.636
53,California,San Diego County,152698.6551
54,Texas,Henderson County,550000.0
55,New York,Westchester County,366406.1949
56,New York,Albany County,269.0362
57,Louisiana,East Baton Rouge Parish,24347.752
58,Arkansas,Sharp County,6528.3796
59,Louisiana,Terrebonne Parish,60870.1262
60,Oklahoma,Beaver County,1450.7809
61,Oklahoma,Rogers County,22588.7317
62,Louisiana,Allen Parish,4683.6908
63,Arkansas,Searcy County,3314.575
64,Nebraska,Lancaster County,9983.3611
65,Arkansas,Izard County,3290.6192
66,Missouri,Gasconade County,3288.1579
67,Arkansas,Washington County,78335.5758
68,Louisiana,Saint Landry Parish,33796.854
69,Arizona,Santa Cruz County,1666.6667
70,Oklahoma,Woodward County,1780.4227
71,Mississippi,Pearl River County,1900.0
72,Oklahoma,Woods County,2707.1854
73,California,San Luis Obispo County,3176.6754
74,Oklahoma,Cleveland County,70778.2003
75,New York,Lewis County,61800.0
76,South Dakota,Custer County,214843.75
77,Missouri,Stoddard County,40860.2151
78,Oklahoma,Major County,3294.3461
79,Colorado,Crowley County,758.0357
80,Oklahoma,Tulsa County,84460.1863
81,Louisiana,Plaquemines Parish,193832.4421
82,Kentucky,Henderson County,8454.5455
83,Georgia,Clayton County,30921.0526
84,Oregon,Lane County,9254.5315
85,Oklahoma,Beckham County,6492.901
86,Oklahoma,Osage County,3000.0512
87,Louisiana,Jefferson Davis Parish,8231.3888
88,Oklahoma,Blaine County,4251.5822
89,Oklahoma,Oklahoma County,94009.8619
90,Arkansas,Jackson County,179329.6089
91,Colorado,Cheyenne County,0.0001
92,Oklahoma,Alfalfa County,2464.6368
93,Tennessee,Lewis County,3533.5062
94,Missouri,Wright County,3966.6667
95,Oklahoma,McClain County,2750.0
96,Arkansas,Stone County,9469.2557
97,California,Plumas County,25253.3784
98,Arkansas,Poinsett County,23125.5103
99,Missouri,Laclede County,13830.7692
100,California,Calaveras County,3947.3684
101,Louisiana,Livingston Parish,25948.2741
102,Arkansas,Lawrence County,45691.2638
103,Oklahoma,Nowata County,2755.3286
104,Oklahoma,Cotton County,1902.1739
105,Oklahoma,Comanche County,2750.0
106,Missouri,Ozark County,2758.6207
107,Louisiana,Lafayette Parish,113362.4859
108,Arkansas,Fulton County,4092.6063
109,Oklahoma,Payne County,8214.4734
110,Wisconsin,Buffalo County,8417.5084
111,Oklahoma,Dewey County,2062.8779
112,Louisiana,Orleans Parish,4834.3976
113,South Dakota,Hughes County,6128.8755
114,Louisiana,Vermilion Parish,21773.604
115,Arkansas,Carroll County,13662.5077
116,Arkansas,Van Buren County,2108.3411
117,Louisiana,Avoyelles Parish,4320.0
118,New York,Bronx County,379821.2855
119,New Mexico,Rio Arriba County,3499.8
120,New York,Putnam County,49552.8199
121,Arkansas,Dallas County,46219.5122
122,Louisiana,West Baton Rouge Parish,550673.4748
123,Oklahoma,Mayes County,33399.2974
124,Louisiana,Caldwell Parish,629137.931
125,Arkansas,Franklin County,2666.8822
126,Louisiana,Saint Charles Parish,18895.3397
127,Wisconsin,Columbia County,0.085
128,Louisiana,Tangipahoa Parish,24943.226
129,Louisiana,Pointe Coupee Parish,127027.027
130,New York,New York County,15344.219
131,Louisiana,Ascension Parish,480759.7243
132,Arkansas,Benton County,127461.1029
133,Arkansas,Calhoun County,3051.8246
134,Louisiana,Assumption Parish,66480.8153
135,Tennessee,Blount County,18558.952
136,North Carolina,Person County,5208.6957
137,Oklahoma,Kingfisher County,4925.3066
138,Utah,Sanpete County,51238.0952
139,Arkansas,Cleburne County,42279.6698
140,Arkansas,Grant County,40625.0
141,Louisiana,Cameron Parish,2603.252
142,Oklahoma,Logan County,225480.1715
143,New Mexico,Cibola County,1964.2857
144,Oklahoma,Custer County,5141.7782
145,Louisiana,Saint James Parish,514705.8824
146,New York,Columbia County,60192.6164
147,Oklahoma,Pawnee County,4540.9186
148,Oklahoma,Cimarron County,750.0
149,North Carolina,Rutherford County,4300.0
150,Oklahoma,Kiowa County,7865.5472
151,Oklahoma,Ellis County,1444.7672
152,Louisiana,Saint Bernard Parish,135211.0626
153,Oklahoma,Tillman County,718932.0388
154,Oklahoma,Wagoner County,46034.8624
155,Oklahoma,Lincoln County,3791.8138
156,Louisiana,Lafourche Parish,17774.6824
157,Oregon,Jackson County,35717.5192
158,Mississippi,Tate County,4000.0
159,Missouri,Texas County,7470.0855
160,Oklahoma,Texas County,2092.5779
161,Louisiana,Saint Tammany Parish,45862.8977
162,Oklahoma,Washington County,7583.0559
163,Georgia,Chattahoochee County,1995.0125
